"airport","arr_flights","arr_cancelled","arr_delayed","arr_delay_time","longitude_deg","latitude_deg","region_name","USAFID","lat","lon","temp","elev","wind.sp","vis.dist","rh","d"
"ABE",20448,631,3496,228426,-75.442797,40.651773,"Pennsylvania",725170,40.65,-75.448,23.5387126019946,117.002719854941,2.24795268425842,14432.1432456936,70.3644614514824,0.48118152518143
"ABI",9078,220,1296,77901,-99.6819000244,32.4113006592,"Texas",722660,32.411,-99.683,30.7213495575221,546,4.68955555555556,15979.6555924695,49.0957110716697,0.10853565180104
"ABQ",100182,2076,18462,1020822,-106.609001,35.040199,"NewMexico",723650,35.033,-106.617,26.2268587360595,1619.79275092937,3.51711627906977,16031.6793680297,38.1172861867545,1.08220198334969
"ABR",3378,67,360,34869,-98.4217987060547,45.4491004943848,"SouthDakota",726590,45.443,-98.422,19.9592792792793,396.447747747748,3.55072202166065,14066.2207207207,77.157925855362,0.678525764669329
"ABY",4214,36,508,35621,-84.196215,31.532946,"Georgia",722160,31.536,-84.194,27.2727941176471,59,2.00404783808648,14139.520699172,77.7466889548385,0.399236047355086
"ACK",5645,195,1036,88134,-70.06020355,41.25310135,"Massachusetts",725069,41.688,-69.993,21.9754961173425,21,2.64886956521739,13292.726488352,83.9582091627552,48.681598303813
"ACT",6836,277,848,44081,-97.2304992675781,31.6112995147705,"Texas",722560,31.611,-97.231,30.490652173913,155.276086956522,4.22726281352235,15889.6760869565,61.4148069570568,0.0579449289200747
"ACV",8489,357,1407,127468,-124.109,40.978101,"California",725945,40.978,-124.109,15.4598667776853,64.0099916736053,1.96325,11543.1873438801,84.6060865900315,0.0112306875911888
"ACY",15113,375,2606,190043,-74.5772018432617,39.4575996398926,"NewJersey",724070,39.45,-74.577,24.4129280821918,20.0051369863014,2.79776055124892,13902.9982876712,76.1961958872988,0.845219078440685
"ADK",530,34,110,4950,-176.642783,51.883564,"Alaska",720272,48.467,-122.421,18.7337224966322,44,1.88197752808989,14266.2198100407,74.4413045794844,3789.82402763365
"ADQ",3688,173,452,21493,-152.4940033,57.75,"Alaska",720272,48.467,-122.421,18.7337224966322,44,1.88197752808989,14266.2198100407,74.4413045794844,2231.64795793496
"AEX",12175,257,1702,102217,-92.549797,31.3274,"Louisiana",722487,31.395,-92.291,26.2458784346378,36,1.01923076923077,10201.5720233139,84.4046555043589,25.6966794737459
